RUN	ru.domrf.dominvest.scenario.Invest	invest	1716292416169	1	3.10.2
GROUP	TC:gRPC	1716292426240	1716292426261	20	OK
GROUP	TC:CreateOperation	1716292426261	1716292426315	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292426316	1716292426334	OK	 
GROUP	TC:gRPC	1716292426316	1716292426335	18	OK
GROUP	TC:CreateOperation	1716292426335	1716292426388	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292426388	1716292426414	OK	 
GROUP	TC:gRPC	1716292426388	1716292426416	26	OK
GROUP	TC:CreateOperation	1716292426416	1716292426872	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292426873	1716292426896	OK	 
GROUP	TC:gRPC	1716292426873	1716292426897	23	OK
GROUP	TC:CreateOperation	1716292426897	1716292427362	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292427364	1716292427382	OK	 
GROUP	TC:gRPC	1716292427363	1716292427383	18	OK
GROUP	TC:CreateOperation	1716292427383	1716292427439	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292427439	1716292427462	OK	 
GROUP	TC:gRPC	1716292427439	1716292427463	23	OK
GROUP	TC:CreateOperation	1716292427464	1716292427513	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292427514	1716292427533	OK	 
GROUP	TC:gRPC	1716292427514	1716292427534	19	OK
GROUP	TC:CreateOperation	1716292427534	1716292427591	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292427592	1716292427611	OK	 
GROUP	TC:gRPC	1716292427592	1716292427612	19	OK
GROUP	TC:CreateOperation	1716292427612	1716292427665	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292427666	1716292427690	OK	 
GROUP	TC:gRPC	1716292427665	1716292427692	24	OK
GROUP	TC:CreateOperation	1716292427692	1716292427746	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292427747	1716292427772	OK	 
GROUP	TC:gRPC	1716292427747	1716292427774	25	OK
GROUP	TC:CreateOperation	1716292427774	1716292427824	0	OK
USER	Default Load Test	END	1716292427832
